,degreeID,n,rank
1000,"22.0399,7",15,2098
2148,"5.0208,5",15,2099
1242,"26.1199,17",15,2100
2545,"51.2007,17",15,2101
1146,"26.0707,17",15,2102
522,"14.0804,17",15,2103
2258,"50.0712,7",15,2104
1152,"26.0708,7",15,2105
572,"14.2001,17",15,2106
735,"15.1599,17",14,2107
366,"13.121,17",14,2108
1312,"27.0303,7",14,2109
1976,"45.0605,17",14,2110
625,"14.4201,17",14,2111
955,"19.9999,7",14,2112
1202,"26.091,5",14,2113
3045,"9.0908,7",14,2114
656,"15.0405,7",14,2115
2377,"51.0509,7",14,2116
281,"13.0604,17",14,2117
1371,"3.0204,7",14,2118
1288,"26.1503,7",14,2119
1870,"43.0118,5",14,2120
674,"15.0612,17",14,2121
396,"13.131,5",14,2122
44,"1.0601,7",14,2123
856,"16.1202,5",14,2124
1894,"43.0304,7",14,2125
2857,"52.0808,7",14,2126
801,"16.0599,5",14,2127
657,"15.0406,5",14,2128
1258,"26.1304,7",14,2129
2089,"5.0112,5",14,2130
1485,"30.2901,5",14,2131
1164,"26.0802,7",14,2132
355,"13.1205,17",14,2133
755,"16.0105,17",14,2134
1685,"40.0508,7",14,2135
2290,"50.0908,17",14,2136
88,"1.1002,7",14,2137
2035,"47.0604,5",14,2138
2992,"54.0199,17",14,2139
1010,"23.1302,17",13,2140
1167,"26.0804,7",13,2141
3040,"9.0906,7",13,2142
1661,"40.0404,17",13,2143
2193,"50.041,7",13,2144
2150,"5.0209,5",13,2145
1889,"43.0302,17",13,2146
1256,"26.1303,7",13,2147
1783,"42.2708,7",13,2148
2807,"52.0299,18",13,2149
270,"13.0499,18",13,2150
2452,"51.0912,17",13,2151
837,"16.11,17",13,2152
107,"1.1106,17",13,2153
1320,"27.0399,17",13,2154
2578,"51.2208,17",13,2155
526,"14.0805,5",13,2156
784,"16.0402,7",13,2157
2033,"47.0302,5",13,2158
2411,"51.0718,7",13,2159
1466,"30.2101,7",13,2160
1809,"42.2807,17",13,2161
2389,"51.0699,5",13,2162
1687,"40.0509,5",13,2163
87,"1.1002,5",13,2164
1841,"43.0102,7",13,2165
2090,"5.0112,7",13,2166
903,"19.0499,17",13,2167
2765,"51.9999,18",12,2168
1101,"26.0399,7",12,2169
860,"16.1203,7",12,2170
1654,"40.0299,7",12,2171
1814,"42.2808,7",12,2172
